UniqID	ICD-10_Description	ICD-9_Description
017900	Poisoning by selective serotonin and norepinephrine reuptake inhibitors, accidental (unintentional), initial encounter	Poisoning by selective serotonin and norepinephrine reuptake inhibitors
017901	Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, initial encounter	Poisoning by selective serotonin and norepinephrine reuptake inhibitors
017902	Poisoning by selective serotonin and norepinephrine reuptake inhibitors, assault, initial encounter	Poisoning by selective serotonin and norepinephrine reuptake inhibitors
017903	Poisoning by selective serotonin and norepinephrine reuptake inhibitors, undetermined, initial encounter	Poisoning by selective serotonin and norepinephrine reuptake inhibitors
019013	Adverse effect of selective serotonin and norepinephrine reuptake inhibitors, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017904	Poisoning by selective serotonin reuptake inhibitors, accidental (unintentional), initial encounter	Poisoning by selective serotonin reuptake inhibitors
017905	Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, initial encounter	Poisoning by selective serotonin reuptake inhibitors
017906	Poisoning by selective serotonin reuptake inhibitors, assault, initial encounter	Poisoning by selective serotonin reuptake inhibitors
017907	Poisoning by selective serotonin reuptake inhibitors, undetermined, initial encounter	Poisoning by selective serotonin reuptake inhibitors
019014	Adverse effect of selective serotonin reuptake inhibitors, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017916	Poisoning by other antidepressants, accidental (unintentional), initial encounter	Poisoning by other antidepressants
017917	Poisoning by other antidepressants, intentional self-harm, initial encounter	Poisoning by other antidepressants
017918	Poisoning by other antidepressants, assault, initial encounter	Poisoning by other antidepressants
017919	Poisoning by other antidepressants, undetermined, initial encounter	Poisoning by other antidepressants
019015	Adverse effect of other antidepressants, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017920	Poisoning by phenothiazine antipsychotics and neuroleptics, accidental (unintentional), initial encounter	Poisoning by phenothiazine-based tranquilizers
017921	Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm, initial encounter	Poisoning by phenothiazine-based tranquilizers
017922	Poisoning by phenothiazine antipsychotics and neuroleptics, assault, initial encounter	Poisoning by phenothiazine-based tranquilizers
017923	Poisoning by phenothiazine antipsychotics and neuroleptics, undetermined, initial encounter	Poisoning by phenothiazine-based tranquilizers
019016	Adverse effect of phenothiazine antipsychotics and neuroleptics, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017924	Poisoning by butyrophenone and thiothixene neuroleptics, accidental (unintentional), initial encounter	Poisoning by butyrophenone-based tranquilizers
017925	Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm, initial encounter	Poisoning by butyrophenone-based tranquilizers
017926	Poisoning by butyrophenone and thiothixene neuroleptics, assault, initial encounter	Poisoning by butyrophenone-based tranquilizers
017927	Poisoning by butyrophenone and thiothixene neuroleptics, undetermined, initial encounter	Poisoning by butyrophenone-based tranquilizers
019017	Adverse effect of butyrophenone and thiothixene neuroleptics, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017928	Poisoning by unspecified antipsychotics and neuroleptics, accidental (unintentional), initial encounter	Poisoning by other antipsychotics, neuroleptics, and major tranquilizers
017929	Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, initial encounter	Poisoning by other antipsychotics, neuroleptics, and major tranquilizers
017930	Poisoning by unspecified antipsychotics and neuroleptics, assault, initial encounter	Poisoning by other antipsychotics, neuroleptics, and major tranquilizers
017931	Poisoning by unspecified antipsychotics and neuroleptics, undetermined, initial encounter	Poisoning by other antipsychotics, neuroleptics, and major tranquilizers
019018	Adverse effect of unspecified antipsychotics and neuroleptics, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017940	Poisoning by other antipsychotics and neuroleptics, accidental (unintentional), initial encounter	Poisoning by other tranquilizers
017932	Poisoning by other antipsychotics and neuroleptics, accidental (unintentional), initial encounter	Poisoning by other antipsychotics, neuroleptics, and major tranquilizers
017933	Poisoning by other antipsychotics and neuroleptics, intentional self-harm, initial encounter	Poisoning by other antipsychotics, neuroleptics, and major tranquilizers
017934	Poisoning by other antipsychotics and neuroleptics, assault, initial encounter	Poisoning by other antipsychotics, neuroleptics, and major tranquilizers
017935	Poisoning by other antipsychotics and neuroleptics, undetermined, initial encounter	Poisoning by other antipsychotics, neuroleptics, and major tranquilizers
019019	Adverse effect of other antipsychotics and neuroleptics, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017956	Poisoning by unspecified psychostimulants, accidental (unintentional), initial encounter	Poisoning by psychostimulant, unspecified
017957	Poisoning by unspecified psychostimulants, intentional self-harm, initial encounter	Poisoning by psychostimulant, unspecified
017958	Poisoning by unspecified psychostimulants, assault, initial encounter	Poisoning by psychostimulant, unspecified
017959	Poisoning by unspecified psychostimulants, undetermined, initial encounter	Poisoning by psychostimulant, unspecified
019020	Adverse effect of unspecified psychostimulants, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017960	Poisoning by caffeine, accidental (unintentional), initial encounter	Poisoning by caffeine
017961	Poisoning by caffeine, intentional self-harm, initial encounter	Poisoning by caffeine
017962	Poisoning by caffeine, assault, initial encounter	Poisoning by caffeine
017963	Poisoning by caffeine, undetermined, initial encounter	Poisoning by caffeine
019021	Adverse effect of caffeine, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017964	Poisoning by amphetamines, accidental (unintentional), initial encounter	Poisoning by amphetamines
017965	Poisoning by amphetamines, intentional self-harm, initial encounter	Poisoning by amphetamines
017966	Poisoning by amphetamines, assault, initial encounter	Poisoning by amphetamines
017967	Poisoning by amphetamines, undetermined, initial encounter	Poisoning by amphetamines
019022	Adverse effect of amphetamines, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017968	Poisoning by methylphenidate, accidental (unintentional), initial encounter	Poisoning by methylphenidate
017969	Poisoning by methylphenidate, intentional self-harm, initial encounter	Poisoning by methylphenidate
017970	Poisoning by methylphenidate, assault, initial encounter	Poisoning by methylphenidate
017971	Poisoning by methylphenidate, undetermined, initial encounter	Poisoning by methylphenidate
019023	Adverse effect of methylphenidate, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017972	Poisoning by other psychostimulants, accidental (unintentional), initial encounter	Poisoning by other psychostimulants
017973	Poisoning by other psychostimulants, intentional self-harm, initial encounter	Poisoning by other psychostimulants
017974	Poisoning by other psychostimulants, assault, initial encounter	Poisoning by other psychostimulants
017975	Poisoning by other psychostimulants, undetermined, initial encounter	Poisoning by other psychostimulants
019024	Adverse effect of other psychostimulants, initial encounter	Unspecified adverse effect of other drug, medicinal and biological substance
017976	Poisoning by other psychotropic drugs, accidental (unintentional), initial encounter	Poisoning by other specified psychotropic agents
017977	Poisoning by other psychotropic drugs, intentional self-harm, initial encounter	Poisoning by other specified psychotropic agents
017978	Poisoning by other psychotropic drugs, assault, initial encounter	Poisoning by other specified psychotropic agents
